PRODUCTO ;group;Marca;CATEGORIA;;;
BIO-ELECTRO MIGRANA C/24 TABS PARACETAMOL, ACIDO ACETILSALICILICO, CAFEINA (GENOMMA)(51);51;GENOMA;ANTIGRIPAL;;;
CAFIASPIRINA C/100 TABS PARACETAMOL, ACIDO ACETILSALICILICO, CAFEINA (BAYER) (51)                       ;51;BAYER;ANALGESICO;;;
CAFIASPIRINA C/40 TABS (BAYER)                        ;51;BAYER;ANALGESICO;;;
EXCEDRIN MIGRANA C/24 TABS PARACETAMOL, ACIDO ACETILSALICILICO, CAFEINA (51);51;HALEON;DOLOR CABEZA;;;
MIGRANA C/24 TABS PARACETAMOL, ACIDO ACETILSALICILICO, CAFEINA (PERRIGO) (51);51;PERRIGO;DOLOR CABEZA;;;
BISOLVON ADULTO 120ML BROMHEXINA (BOEHRINGER INGELHEIM) (52)         ;52;BOEHRINGER INGELHEIM;ANTITUSIGENO;;;
BROMHEXINA ADULTO 100ML (BIOMEP) (52);52;BIOMEP;ANTITUSIGENO;;;
BISOLVON INFANTIL 120ML BROMHEXINA (BOEHRINGER INGELHEIM)  (53)       ;53;BOEHRINGER INGELHEIM;ANTITUSIGENO;;;
BROMHEXINA INFANTIL 100ML (BIOMEP) (53);53;BIOMEP;ANTITUSIGENO;;;
BONADOXINA 120ML MECLIZINA, PIRIDOXINA (PFIZER) (54);54;PFIZER;NAUSEAS/VOMITO;;;
BONADOXINA C/5 AMP MECLIZINA, PIRIDOXINA (PFIZER) (55);55;PFIZER;NAUSEAS/VOMITO;;;
VO-REMI C/5 AMP MECLIZINA, PIRIDOXINA (OFFENBACH) (55);55;OFFENBACH;NAUSEAS/VOMITO;;;
BONADOXINA C/25 TABS MECLIZINA, PIRIDOXINA (PFIZER) (56)           ;56;PFIZER;NAUSEAS/VOMITO;;;
MECLISON C/20 TABS MECLIZINA, PIRIDOXINA (SONS) (56);56;SONS;NAUSEAS/VOMITO;;;
BONADOXINA 20ML MECLIZINA, PIRIDOXINA (PFIZER) (57)               ;57;PFIZER;NAUSEAS/VOMITO;;;
MECLISON 15ML MECLIZINA, PIRIDOXINA (SONS) (57);57;SONS;NAUSEAS/VOMITO;;;
BonaProst 760mg c/60 Caps (Nature's ´P.e.t. ) (58);58;;SUPLEMENTO;;;
BROGAL T ADULTO 120ML DEXTROMETORFANO/ AMBROXOL (RAYERE) (59);59;RAYERE;ANTITUSIGENO;;;
COBADEX ADULTO 120ML DEXTROMETORFANO/ AMBROXOL (MAVER) (59);59;MAVER;ANTITUSIGENO;;;
HISTIACIL NF ADULTO 150ML DEXTROMETORFANO/ AMBROXOL (SANOFI) (59)       ;59;SANOFI;ANTITUSIGENO;;;
BROGAL T INFANTIL 120ML DEXTROMETORFANO/ AMBROXOL (RAYERE) (60);60;RAYERE;ANTITUSIGENO;;;
COBADEX INFANTIL 120ML DEXTROMETORFANO/ AMBROXOL (MAVER) (60);60;MAVER;ANTITUSIGENO;;;
HISTIACIL NF INFANTIL 150ML DEXTROMETORFANO/ AMBROXOL (SANOFI) (60)                  ;60;SANOFI;ANTITUSIGENO;;;
BENZOCAINA  BUCAL 9.7ML (MAVER) (61);61;MAVER;HERPES BUCAL;;;
CAMIDEN GEL 10G BENZOCAINA (MAVER) (61);61;MAVER;HERPES BUCAL;;;
KANK-A AFTAS 9.7ML BENZOCAINA (SANFER) (61)                ;61;SANFER;FUEGOS;;;
QUIMIKAN AFTAS 10ML BENZOCAINA (QUIMPHARMA) (61) ;61;QUIMPHARMA;FUEGOS;;;
BABY KANK-A GEL 10GR SABOR UVA (SANFER)           ;61;SANFER;FUEGOS;;;
LUMBOXEN GEL ROJO 35G NAPROXENO, LIDOCAINA (MAVER) (62);62;MAVER;ANALGESICO TOPICO ;;;
ULTRA BENGUE GEL AZUL 35G NAPROXENO, LIDOCAINA (GENOMMA LAB) (62);62;GENOMMA LAB;ANALGESICO TOPICO ;;;
ULTRA BENGUE GEL ROJO 35G NAPROXENO, LIDOCAINA (GENOMMA LAB) (62);62;GENOMMA LAB;ANALGESICO TOPICO ;;;
BUSCAPINA COMP C/36 TABS BUTILlHIOSCINA o HIOSCINA , METAMIZOL SODICO (BOEHRINGER)  (63)    ;63;BOEHRINGER INGELHEIM;ANALGESICO  ;;;
SERRALPINA COMPUESTA C/10 TABS BUTILlHIOSCINA o HIOSCINA , METAMIZOL SODICO (SERRAL)(63);63;SERRAL;ANALGESICO  ;;;
BUSCAPINA 10MG C/24 TABS BUTILIHIOSCINA O HIOSCINA, PARACETAMOL (BOEHRINGER INGELHEIM) (64);64;BOEHRINGER INGELHEIM;ANALGESICO;;;
PASMODIL DUO C/24 TABS BUTILIHIOSCINA O HIOSCINA, PARACETAMOL (COLLINS) (64);64;COLLINS;ANALGESICO ;;;
LYRICA 75MG C/14 CAPS PREGABALINA (PFIZER) (65);65;PFIZER;ANALGESICO;;;
PREGABALINA 150MG C/28 TABS  (PSICOFARMA) (65);65;PSICOFARMA;ANALGESICO;;;
PREGABALINA 75MG C/28 TABS  (AMSA) (65);65;AMSA;ANALGESICO;;;
PREGABALINA 75MG C/28 TABS  (PSICOFARMA) (65);65;PSICOFARMA;ANALGESICO;;;
CALCIGENOL DOBLE SUSP 340ML (SANOFI)  (66)          ;66;SANOFI;VITAMINA;;;
CANDIFLUX 150MG C/1 CAP FLUCONAZOL (LIOMONT) (67);67;LIOMONT;ANTIMICOTICO;;;
DOFIL 150MG C/1 CAPS FLUCONAZOL (SBL);67;SBL;ANTIMICOTICO;;;
DOFIL 150MG C/4 CAPS FLUCONAZOL (SBL);67;SBL;ANTIMICOTICO;;;
FLUATRON 150MG C/10 CAPS FLUCONAZOL (VICTORY) (67);67;VICTORY;ANTIMICOTICO;;;
FLUATRON 150MG C/30 CAPS FLUCONAZOL  (VICTORY);67;VICTORY;ANTIMICOTICO;;;
FLUCONAZOL 200MG C/2 CAPS (SAIMED) (67);67;SAIMED;ANTIMICOTICO;;;
FLUZOR  100MG C/10 CAPS FLUCONAZOL (COLLINS);67;COLLINS;ANTIFUNGICO;;;
CANESTEN 30G CREMA  CLOTRIMAZOL(BAYER) (68)                     ;68;BAYER;ANTIMICOTICO;;;
CANESTEN V 200MG C/3 OVULOS CLOTRIMAZOL (BAYER) (68);68;BAYER;ANTIMICOTICO;;;
CANESTEN V 20G CREMA CLOTRIMAZOL (BAYER)  (68)              ;68;BAYER;ANTIMICOTICO;;;
TENESCAN V 20G CLOTRIMAZOL (MAVER)). (68);68;MAVER;ANTIMICOTICO;;;
BRUCAP 25MG C/30 TABS CAPTOPRIL (BRULUART);69;BRULUART;ANTIHIPERTENSIVO;;;
BRUCAP c/30 TABS. 25 MG. (BRULUART)  (69);69;BRULUART;ANTIHIPERTENSIVO;;;
Capotena 25mg c/30 Tabs Captopril (Bristol-Myers Squibb) (69);69;BRISTOL-MYERS;ANTIHIPERTENSIVO;;;
CAPTOPRIL (Ultra) c/30 TABS. 25 MG. (69);69;;ANTIHIPERTENSIVO;;;
CAPTOPRIL 25MG C/30 TABS (HORMONA);69;HORMONA;ANTIHIPERTENSIVO;;;
CAPTOPRIL 25MG C/30 TABS (KENDRICK) (69);69;KENDRICK;ANTIHIPERTENSIVO;;;
CAPTOPRIL 25MG C/30 TABS (ULTRA);69;ULTRA;ANTIHIPERTENSIVO;;;
HIPERTEX CAPTOPRIL 25MG C/30 TABLETAS (RAYERE)    ;69;RAYERE;ANTIHIPERTENSIVO;;;
Ipyrol 25mg c/100 Tabs Captopril (Victory);69;VICTORY;ANTIHIPERTENSIVO;;;
Reduprec 25mg c/100 Tabs Captopril (Ultra);69;ULTRA;ANTIHIPERTENSIVO;;;
Reduprec 25mg c/30 Tabs Captopril (Ultra);69;ULTRA;ANTIHIPERTENSIVO;;;
BIONEURIL c/20 TABS. 200 MG. (BIORESEARCH) (70);70;BIOSEARCH;EPILEPSIA;;;
CARBALAN 200MG C/20 TABS CARBAMAZEPINA (PERRIGO)  (70);70;PERRIGO;EPILEPSIA;;;
CARBAMAZEPINA (Randall) c/20 TABS. 200 MG.;70;RANDALL;EPILEPSIA;;;
CARBAMAZEPINA 200MG C/20 TABS. (PSICOPHARMA);70;PSICOPHARMA;EPILEPSIA;;;
CEFALEXINA (Amsa) SUSP. Fco. 100 ML. 250 MG/5 ML.;71;AMSA;ANTIBIOTICO;;;
CEFALVER 250MG SUSP CEFALEXINA (MAVER);71;MAVER;ANTIBIOTICO;;;
CEFALEXINA (Amsa) c/20 CAPS. 500 MG.;72;AMSA;ANTIBIOTICO;;;
CEFALVER 500MG C/20 CAPS CEFALEXINA (MAVER);72;MAVER;ANTIBIOTICO;;;
CEFTREX 1GR IM ;73;SIEGFRIED RHEIN;ANTIBIOTICO;;;
CEFTRIAXONA (Collins) I.M. Sol. Iny. c/1 FCO. AMP. 1 G/3.5 ML.;73;COLLINS;ANTIBIOTICO;;;
Ceftriaxona 1g I.M. (Amsa);73;AMSA;ANTIBIOTICO;;;
CELESTAMINE NS 60ML LORATADINA/ BETAMETASONA (SCHERING-PLOUGH);74;SCHERING-PLOUGH;ANTIGRIPAL;;;
ERISPAN Compuesto SOL. Pedtca. Fco. 60 ML. 100-5 MG/100 ML.;74;MAVER;ANTIGRIPAL;;;
EXYOFUR SOL. 12H Fco 60 ML. 100-5 MG/100 ML.;74;SONS;ANTIGRIPAL;;;
TAMEX SOLUCIÓN Fco. 60 ML. 100-5 MG/100 ML.;74;SERRAL;ANTIGRIPAL;;;
CELESTAMINE NS C/10 TABS 5.0MG/0.25MG LORATADINA/BETAMETASONA (SCHERING-PLOUGH);75;SCHERING-PLOUGH;ANTIGRIPAL;;;
COBEDINA-NS 12H c/10 TABS. 5.0/0.25 MG.;75;COLLINS;ANTIGRIPAL;;;
ERISPAN Compuesto c/10 TABS. 5/0.25 MG.;75;MAVER;ANTIGRIPAL;;;
CELESTAMINE NS C/20 TABS 5.0MG/0.25MG LORATADINA/ BETAMETASONA (SCHERING-PLOUGH);76;SCHERING-PLOUGH;ANTIGRIPAL;;;
ERISPAN Compuesto c/20 TABS. 5/0.25 MG;76;MAVER;ANTIGRIPAL;;;
TAMEX c/10 TABS. 5.0/0.25 MG.;76;SERRAL;ANTIGRIPAL;;;
CIALIS 20MG C/1 (LILLY);77;LILLY;DISFUNSION ERECTIL;;;
CIALIS 20MG C/4 TAB (LILLY);77;LILLY;DISFUNSION ERECTIL;;;
CICLOFERON 2G CREMA ACICLOVIR (LIOMONT)                    ;78;LIOMONT;FUEGO LABIAL;;;
CICLOFERON 2G CREMA COLOR PIEL ACICLOVIR (LIOMONT)             ;78;LIOMONT;FUEGO LABIAL;;;
CICLOFERON 400MG C/35 TABLETAS (LIOMONT)                ;78;LIOMONT;HERPES LABIAL;;;
CICLOFERON 5G CREMA ACICLOVIR (LIOMONT);78;LIOMONT;FUEGO LABIAL;;;
CICLOFERON XTRM 2G CREMA ACICLOVIR (LIOMONT)               ;78;LIOMONT;FUEGO LABIAL;;;
CIGMADIL 300MG C/16 CAPS CLINDAMICINA (COLLINS);79;COLLINS;ANTIBIOTICO;;;
CLINDAMICINA (Amsa) c/16 CAPS 300 MG.;79;AMSA;ANTIBIOTICO;;;
DALACIN C 300MG C/16 CAPS (PFIZER);79;PFIZER;ANTIBIOTICO;;;
CINERARIA MARITIMA 10ML (MEDICOR);80;MEDICOR;;;;
CIPROFLOX 500MG C/12 CAPS CIPROFLOXACINO (ALTIA);81;ALTIA;ANTIBIOTICO;;;
CIPROFLOXACINO (Ultra) c/12 TABS. 500 MG.;81;ULTRA;ANTIBIOTICO;;;
CIPROFLOXACINO 500MG C/100 CAPS (SAIMED) G;82;SAIMED;ANTIBIOTICO;;;
CIPROFLOXACINO 500MG C/100 CAPS (SAIMED) S;82;SAIMED;ANTIBIOTICO;;;
CIPROFLOXACINO 500MG C/14 TABS  (AMSA);83;AMSA;ANTIBIOTICO;;;
CIPROFLOXACINO 500MG C/14 TABS  (HORMONA);83;HORMONA;ANTIBIOTICO;;;
CITRA 100MG C/120 TABS TRAMADOL (VICTORY)                  ;84;VICTORY;ANALGESICO OPIOIDE;;;
CITRA 100MG C/60 TABS TRAMADOL (VICTORY)                  ;85;VICTORY;ANALGESICO OPIOIDE;;;
CLONAFEC C/120 TABS DICLOFENACO (VICTORY);86;VICTORY;ANTIINFLAMATORIO;;;
CLONAZEPAM 10ML GOTAS (PSICOFARMA);87;PSICOFARMA;BENZODIACEPINA;;;
RIVOTRIL 2.5MG 10ML SOLUCION (ROCHE);87;ROCHE;BENZODIACEPINA;;;
RIVOTRIL GOTAS CLONAZEPAM (ROCHE) ;87;ROCHE;;;;
CLONAZEPAM 2MG C/100 TABS (PSICOFARMA);88;PSICOFARMA;BENZODIACEPINA;;;
CLONAZEPAM 2MG C/30 TABS (PSICOFARMA);89;PSICOFARMA;BENZODIACEPINA;;;
RIVOTRIL 2MG C/30 TABC CLONAZEPAM (ROCHE);89;ROCHE;;;;
RIVOTRIL 2MG C/30 TABS (ROCHE);89;ROCHE;BENZODIACEPINA;;;
CLONAZEPAM 2MG C/60 TABS (PSICOFARMA);90;PSICOFARMA;BENZODIACEPINA;;;
A.S. COR 24ml GOTAS (SANFER)                           ;91;SANFER;;;;
"FRINVER SOL. Fco. Gotero 24 ML. 10 MG/1 ML. Norfenefrina (MAVER)
";91;MAVER;;;;
ABRUNT 5MG C/10 TABS DESLORATADINA (BRULUART);92;BRULUART;;;;
BENNET c/10 TABS. 5 MG. DESLORATADINA (MAVER);92;MAVER;;;;
HISTAPHARMA 5MG C/10 TABS DESLORATADINA (QUIMPHARMA);92;QUIMPHARMA;;;;
SENSIDEX 5MG DESLORATADINA C/10 TABS (LIOMONT);92;LIOMONT;;;;
ACC 600MG C/20 TABS EFERVECENTES ACETILCISTEINA (SANDOZ);93;SANDOZ;;;;
LYSOMUCIL 600MG TABLETAS EFERVECENTES CAJA CON 20 ACETILCISTEINA (ZAMBON);93;ZAMBON;;;;
Acetafen 500mg c/12 Tabs Paracetamol (Rayere);94;RAYERE;;;;
CORIVER 500MG C/20 TABS PARACETAMOL (MAVER);94;MAVER;;;;
PARACETAMOL 500MG C/10 TABS (ALPHARMA);94;ALPHARMA;ANALGESICO ;;;
TEMPRA 500MG TABLETAS (BRISTOL-MYERS) ;94;BRISTOL-MYERS SQUIBB;;;;
Acetafen 750mg c/12 Tabs Paracetamol (Rayere);95;RAYERE;;;;
PARACETAMOL 750MG C/60 TABS (ECOMED);95;;;;;
QUITADOL 750MG C/10 TABS PARACETAMOL (BIOMEP);95;;;;;
TYLEX 750MG TABLETAS PARACETAMOL C/20 TABS (JASSEN-CILAG);95;JASSEN-CILAG;;;;
BUSCAPINA DUO C/10 HIOSCINA /PARACETAMOL (BOEHRINGER INGELHEIM);96;;;;;
BUSCAPINA DUO C/20 HIOSCINA /PARACETAMOL (BOEHRINGER INGELHEIM);96;;;;;
PASMODIL C/20 TABS Butilhioscina ó Hioscina+Paracetamo (COLLINS);96;;;;;
BRAX 200/275MG C/10 TABS NAPROXENO SODICO/PARACETAMOL (BIOMEP);97;BIOMEP;ANALGESICO ;;;
FEBRAX C/15 TABS NAPROXENO SODICO , PARACETAMOL (SIEGFRIED RHEIN)    ;97;SIEGFRIED RHEIN;ANTIINFLAMATORIO;;;
PROXALIN-PLUS C/10 TABS NAPROXENO SODICO/PARACETAMOL (DEGORT'S/CHEMICAL);97;DEGORTS/CHEMICAL;ANALGESICO ;;;
PROXALIN-PLUS C/16 TABS NAPROXENO SODICO/PARACETAMOL (DEGORT'S/CHEMICAL);97;DEGORTS/CHEMICAL;ANTIINFLAMATORIO;;;
FEBRAX SUSP 100ML NAPROXENO SODICO , PARACETAMOL (SIEGFRIED RHEIN)               ;98;SIEGFRIED RHEIN;ANTIINFLAMATORIO;;;
PROXALIN-PLUS SUSP 100ML NAPROXENO SODICO/PARACETAMOL (DEGORT'S/CHEMICAL)      ;98;DEGORTS/CHEMICAL;ANTIINFLAMATORIO;;;
ACICLOVIR 400MG C/35 TABS (AMSA);99;AMSA;ANTIVIRAL;;;
MACLOV 400MG C/35 TABS ACICLOVIR (MAVI) ;99;MAVI;ANTIVIRAL;;;
CICLOFERON CREMA 10G ACICLOVIR (LIOMONT);100;LIOMONT;ANTIVIRAL;;;
LESACLOR CREMA 5% Tubo c/5 G. (MAVI);100;MAVI;ANTIVIRAL;;;
CICLOFERON 200MG C/25 TABS ACICLOVIR (LIOMONT);101;LIOMONT;ANTIVIRAL;;;
LANDVIR 200MG C/25 TABS ACICLOVIR (LANDSTEINER);101;LANDSTEINER;ANTIVIRAL;;;
ZIVERONE 200MG C/25 ACICLOVIR (RAYERE);101;RAYERE;ANTIVIRAL;;;
CLORIXAN 800MG C/50 TABS ACICLOVIR (VICTORY);102;VICTORY;ANTIVIRAL;;;
ZOVIRAX DISPERSABLE 800MG C/35 ACICLOVIR (GLAXO SMITH KLINE);102;GLAXO SMITH KLINE ;ANTIVIRAL;;;
CICLOFERON 200MG/5ML ACICLOVIR SUSPENSION (LIOMONT);103;LIOMONT;ANTIVIRAL;;;
LESACLOR 125 ML.200MG ACICLOVIR (MAVI);103;MAVI;ANTIVIRAL;;;
VALACICLOVIR 500MG C/10 TABS ACICLOVIR (SERRAL);104;SERRAL;ANTIVIRAL;;;
ACOMEXOL 30G CREMA  (ARMSTRONG);105;ARMSTRON;ANTIVIRAL;;;
ACORTIZ  25MG C/100 TABS HIDROCLOROTIAZIDA (VICTORY);106;VICTORY;HIPERTENSION ARTERIAL ;;;
HIDROCLOROTIAZIDA 25MG C/100 TABS ;106;;HIPERTENSION ARTERIAL ;;;
HIDROCLOROTIAZIDA 25MG C/20 TABS ;106;;HIPERTENSION ARTERIAL ;;;
ROFUCAL 25MG C/30 TABS HIDROCLOROTIAZIDA (PROBIOMED);106;PROBIOMED;HIPERTENSION ARTERIAL ;;;
CO-TARSAN C/30 COMPS. 50/12.5 MG. LOSARTAN/HIDROCLOROTIAZIDA (MAVER);107;MAVER;HIPERTENSION ARTERIAL ;;;
LOSARTÁN/HIDROCLOROTIAZIDA (Schoen) c/30 COMPS. 50/12.5 MG.;107;SCHOEN;HIPERTENSION ARTERIAL ;;;
LOSARTÁN/HIDROCLOROTIAZIDA (Ultra) c/30 TABS. 50/12.5 MG.;107;ULTRA;HIPERTENSION ARTERIAL ;;;
LOSARTAN/HIDROCLOROTIAZIDA 50MG/25MG C/15 TABS (AVIVIA);108;AVIVIA;HIPERTENSION ARTERIAL ;;;
LOSARTÁN/HIDROCLOROTIAZIDA C/15 TABS (AMSA) ;109;AMSA;HIPERTENSION ARTERIAL ;;;
LOSARTAN/HIDROCLOROTIAZIDA C/15 TABS (AVIVIA) ;109;AVIVIA;HIPERTENSION ARTERIAL ;;;
BLEDROMIN c/28 TABS. 80/12.5 MG. (EVOLUTION);110;EVOLUTION;;;;
LESPREK H c/14 TABS. 80/12.5 MG. (ACCORD);110;ACCORD;;;;
TELMISARTAN/HIDROCLOROTIAZIDA 80MG/12.5MG  c/14 TABS  (BOEHRINGER INGELHEIM);110;BOEHRINGER INGELHEM ;HIPERTENSION ARTERIAL ;;;
Adalat 10mg c/30 Tabs Nifedipino (Bayer);111;BAYER;HIPERTENSION ;;;
GELPRIM c/20 CAPS. 10 MG. (GELpharma);111;GELpharma;HIPERTENSION ;;;
ANHITEN-A 30MG C/30 COMP L.P NIFEDIPINO (ULTRA);112;ULTRA;HIPERTENSION ;;;
NIFEDIPINO  30MG C/30 COMPS. L.P. (ULTRA);112;ULTRA;HIPERTENSION ;;;
NIFEDIPINO 30MG C/30 COMP ;112;;HIPERTENSION ;;;
NIFEDIPINO 30MG C/100 COMP ;113;;HIPERTENSION ;;;
ACROMICINA 250MG C/20 TABS  (WYETH);114;WYETH;Antibiotico;;;
BIOTRICINA c/10 TABS. 250 MG. (BIORESEARCH);114;BIORESEARCH;Antibiotico;;;
TETRA ATLANTIS c/16 CAPS. 250 MG. (ATLANTIS);114;ATLANTIS;Antibiotico;;;
ADOPREN 800MG C/60 TABS IBUPROFENO (GENETICA);115;GENETICA;ANALGESICO ;;;
ADVIL INFANTIL 2-12 ANOS 120ML;116;PFIZER;;;;
Aflusil 120ml Ibuprofeno (Loeffler);116;LOEFFLER;ANALGESICO ;;;
DOLPRIN 120ML IBUPROFENO (COLLINS);116;COLLINS;ANALGESICO ;;;
FIDOIN-Q SUSP. Infantil Fco. 120 ML. 2 G/100 ML.;116;QUIMPHARMA;ANALGESICO ;;;
ADVIL MAX C/10 CAPSULAS                           ;117;PFIZER;;;;
ALGIDOL EXHIBIDOR 400MG C/100 CAPS IBUPROFENO (GEL PHARMA);117;GEL PHARMA;ANALGESICO ;;;
ADOPREN Caja c/10 TABS. 800 MG. (GENETICA);118;GENETICA;ANALGESICO ;;;
AFLENO c/10 TABS. 800 MG. (BRULUAGSA);118;BRULUAGSA;ANALGESICO ;;;
DOLPROFEN 800MG C/10 TABS IBUPROFENO (COLLINS);118;COLLINS;ANALGESICO ;;;
DOLVER 800MG C/20 TABS IBUPROFENO (MAVER);119;MAVER;ANALGESICO ;;;
VICZEN Caja c/20 TABS. 800 MG. (VICTORY);119;VICTORY;ANALGESICO ;;;
Viczen 800mg c/100 Tabs Ibuprofeno (Victory);120;VICTORY;ANALGESICO ;;;
ADMIDOXIL C/10 CAPS AMBROXOL, DEXTROMETORFANO (GEL PHARMA);121;GEL PHARMA;;;;
HISTIACIL NF C/10 CÁPSULAS DEXTROMETORFANO/ AMBROXOL (SANOFI)               ;121;SANOFI;ANTIGRIPAL;;;
HISTIACIL NF C/20 CÁPS DEXTROMETORFANO/ AMBROXOL (SANOFI)         ;122;SANOFI;ANTIGRIPAL;;;
ADRECORT 1MG c/20 TABS DEXAMETASONA (AVITUS);123;AVITUS;DESINFLAMATORIO;;;
ADRECORT Cja/Fco. c/30 TABS. 0.5 MG. (AVITUS);124;AVITUS;DESINFLAMATORIO;;;
ALIN 0.5MG C/30 TABS DEXAMETASONA (CHINOIN);124;CHINOIN;DESINFLAMATORIO;;;
DEXAMETASONA (Avivia) c/30 TABS. 0.5 MG. (AVIVIA);124;AVIVIA;DESINFLAMATORIO;;;
ALIN DEPOT SOL INY C/1 8MG DEXAMETASONA (CHINOIN);125;CHINOIN;DESINFLAMATORIO;;;
DECOREX SOL. INY C/1 AMP 8MG DEXAMETASONA (PISA);125;PISA;DESINFLAMATORIO;;;
TRIRONVIT DEX c/3 AMP. 8 MG/2 ML. DEXAMETASONA (EDERKA);125;EDERKA;DESINFLAMATORIO;;;
COMBEDI 4MG DX C/3 AMP COMPLEJO B, DEXAMETASONA, LIDOCAINA (AMSA);126;AMSA;DESINFLAMATORIO;;;
Combesteral c/3 Amp Complejo B / 4MG Dexametasona-Lidocaina (Pisa);126;PISA;DESINFLAMATORIO;;;
DEXIMET C/30 CAPS  (SONS);127;SONS;DESINFLAMATORIO;;;
Indarzona c/30 Caps Indometacina, Dexametasona (Streger);127;STREGER;DESINFLAMATORIO;;;
TOBRADEX 5ML GOTAS DEXAMETASONA, TOBRAMICINA (ALCON);128;ALCON;DESINFLAMATORIO;;;
TOBRAMICINA/DEXAMETASONA (Grin) SOL. OFT. Fco. Gotero 5 ML. 3-1 MG/1 ML. (GRIN);128;GRIN;DESINFLAMATORIO;;;
VENGESIC C/20 TABS FENILBUTAZONA, DEXAMETASONA, METOCARBAMOL, HIDROXIDO DE ALUMINIO (COLLINS);129;COLLINS;DESINFLAMATORIO;;;
ZOLIDIME C/20 GRAGEAS Dexametasona+Fenilbutazona+Acido Acetilsalicílico+Aluminio. (COLLINS);130;COLLINS;DESINFLAMATORIO;;;
ADVIL EXHIBIDOR TABLETAS C/15 ENVASES             ;131;PFIZER;DESINFLAMATORIO;;;
AFRIN ADULTO DESCONGESTIVO NASAL 20ML  (SCHERING-PLOUGH);132;SCHERING-PLOUGH;DESCONGESTIVO;;;
VIRINDREZ SOL. NASAL Adulto 0.050% Fco. Atomizador 20 ML. (LIFERPAL);132;LIFERPAL;DESCONGESTIVO;;;
AFRIN INFANTIL DESCONGESTIVO NASAL 20ML  (SCHERING-PLOUGH);133;SCHERING-PLOUGH;DESCONGESTIVO;;;
COLLIFRIN SOL. Nasal INFANTIL 0.025% Fco. Atomizador 20 ML. INFANTIL  (COLLINS);133;COLLINS;DESCONGESTIVO;;;
AFUMIX  C/4 TABS (ALTIA) ;134;ALTIA;ANTIMICOTICO;;;
FAUX c/4 TABS. 37.5/500 MG. (MAVER);134;MAVER;ANTIMICOTICO;;;
AGIN C/20 TABS (NORDIN)                           ;135;NORDIN;DOLOR;;;
AJIN C/15 TABS (NORDIMEX)                         ;135;NORDIMEX;;;;
Agrifen Adulto Parches Paracetamol, Cafeina, Fenilefrina y Clorfenamina (Pisa);136;PISA;GRIPA;;;
AGRIFEN INFANTIL PARCHES (PISA);137;PISA;GRIPA;;;
AGRULAX POLVO (PISA);138;PISA;ESTRENIMIENTO;;;
AKORAZOL 60G CREMA KETOCONAZOL (COLLINS);139;COLLINS;ANTIMICOTICO;;;
ONOFIN-K CREMA 60GR KETOCONAZOL (RAYERE)                      ;139;RAYERE;ANTIMICOTICO;;;
CONAZOL 2% 40G CREMA KETOCONAZOL (LIOMONT);140;LIOMONT;ANTIMICOTICO;;;
CONAZOL 40G CREMA KETOCONAZOL (LIOMONT);140;LIOMONT;ANTIMICOTICO;;;
FEMISAN VAGINAL 30G KETOCONAZOL, CLINDAMICINA (GROSSMAN);141;GROSSMAN;ANTIMICOTICO;;;
KETOCONAZOL 30G CREMA (APOTEX);142;APOTEX;ANTIMICOTICO;;;
KETOCONAZOL 30G CREMA (BIOMEP);142;BIOMEP;ANTIMICOTICO;;;
LIZOVAG 30G CREMA KETOCONAZOL (BIOMEP);142;BIOMEP;ANTIMICOTICO;;;
ONOFIN-K CREMA 30GR KETOCONAZOL (RAYERE)                      ;142;RAYERE;ANTIMICOTICO;;;
CONAZOL 200MG C/10 TABS KETOCONAZOL (LIOMONT);143;LIOMONT;ANTIMICOTICO;;;
CONAZOL 200MG C/20 TABS KETOCONAZOL (LIOMONT);143;LIOMONT;ANTIMICOTICO;;;
KEPLOZOL 200 MG C/50 TABS KETOCONAZOL (VICTORY);143;VICTORY;ANTIMICOTICO;NO HAY EQUIVALENTE EN GENERICO;;
ONOFIN K 200MG C/10 TABS KETOCONAZOL (RAYERE);143;RAYERE;ANTIMICOTICO;NO HAY EQUIVALENTE EN GENERICO;;
TINAZOL 120ML KETOCONAZOL SHAMPOO;144;;ANTIMICOTICO;NO HAY EQUIVALENTE EN GENERICO;;
Tiniazol Shampoo 120ml Ketoconazol (Liferpal MD);144;LIFERPAL;ANTIMICOTICO;;;
PRENALON 60ML SUSPENSION KETOCONAZOL (CHEMICAL);145;CHEMICAL;ANTIMICOTICO;;;
CLINDAMICINA/KETOCONAZOL (Loeffler) c/7 ÓVULOS 100/400 MG. (LOEFFLER);146;LOEFFLER;ANTIBIOTICO;;;
TREXEN DUO OVULOS C/7 CLINDAMICINA/ KETOCONAZOL (ASOFARMA) ;146;ASOFARMA;ANTIBIOTICO;;;
ALBOZ 20MG C/60 CAPS (COLLINS);147;COLLINS;;;;
GENOPRAZOL 20MG  C/49 CAPS OMEPRAZOL EXH (GENOMA LAB);147;GENOMMA;ANTI ACIDO ;;;
GENOPRAZOL 20MG C/14 CAPS OMEPRAZOL (GENOMMA)              ;147;GENOMMA;ANTI ACIDO ;;;
GENOPRAZOL 20MG C/20 CAPS OMEPRAZOL (GENOMMA);147;GENOMMA;ANTI ACIDO ;;;
GENOPRAZOL 20mg c/7 CAPS OMEPRAZOL (GENOMALAB);147;GENOMMA;ANTI ACIDO ;;;
OMEPRAZOL 20MG C/100 CAPS (SAIMED);147;SAIMED;ANTI ACIDO;;;
